"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,123.937677053824,123.930972778203,124.195134575569,124.859462835728,124.859462835728,124.022478166579,123.047843246297,120.494180997047,121.673003802281,120.935765265662,118.198874296435,113.836513499159,110.661246792829,110.878661087866,112.707182320442,113.109058237892,115.72633140815,117.031904216609,112.436897659477,109.330759330759,105.93471810089,107.545271629779,104.440961337513,102.440808039094,103.734439834025,110.901210265383,113.193403298351,112.440217678798,115.42904290429,115.646359095689,113.853205004672,107.594936708861,106.102635228849,110.863140153509,116.797511764525,114.74358974359,116.732780906388,118.181618602691,123.476727497806,129.317114996727,128.939828080229,129.77022977023,132.456472369417,136.814964899892,134.595431614594,129.835575137118,131.800336511497,130.207343693449,127.826786611999,133.928571428571,140.124772215873,142.448512585812,150,146.026903121574,143.756240272923,145.085533137431,143.62193293943,146.868031527874,145.691906005222,145.87891792186,153.143418467584,158.167650069779,167.147727560034,168.836805555556,169.967258864731,168.840841564282,166.571650557409,164.879613472733,170.274024169502,173.026422931827,173.276820104413,174.552968960864,174.878993668028,178.245192307692,182.82359017868,190.846793930494,194.35736677116,192.033898305085,191.866379837276,193.047529001827,192.388269622352,192.501774771162,190.630182421227,190.006163328197,196.366715758468
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,84.5040336154157,84.7262247838617,83.3754421424962,81.1965811965812,80.441182856827,78.9707187222715,77.7403524605355,77.701926063995,75.1366120218579,74.8425149700599,69.1244239631336,65.7894736842105,61.1644348885745,58.5419734904271,56.1841180604357,53.4488182412831,54.0735400144196,51.9910258395576,52.4987724466891,56.6301425133245,57.9406631762653,58.5285848172446,58.2629246676514,57.0028510334996,55.9277113010446,60.2083333333333,61.6512345679012,62.7570958215423,66.6900913562895,68.4292205696124,67.8776290630975,68.0628272251309,69.8729582577133,70.2740688685875,74.2115027829313,75.9144598971233,76.5262252794497,77.538770821367,79.0458372310571,81.0263335584065,83.3754421424962,84.5864661654135,84.6391065830721,90.6183368869936,93.6458333333333,95.046633771237,95.6250943681111,95.3389830508475,95.5598455598456,97.0873786407767,98.8940628637951,100.290823717636,101.044474393531,102.906998231303,103.690002410365,105.460902689439,105.683084492544,106.095293209877,105.003345849933,106.209150326797,107.712200208551,109.117361784675,112.05218622226,110.373045078197,111.697362959079,112.793851717902,115.018688413184,116.660234727929,117.222222222222,117.123287671233,117.26427622842,116.679132385939,116.363636363636,116.11704598235,118.510928961749,119.707661290323,121.359489508561,122.42074742268,123.189522342065,125.097732603597,125.577495877106,124.773333333333,124.023105674482,124.388404517529,126.457435513085
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.3516101868791,73.711833685108,74.0131578947368,74.8923658864362,75.8807588075881,74.7600483183928,76.1369443025038,79.1322314049587,79.3269230769231,78.7703625853915,77.7027027027027,79.2166533368879,76.6914860597925,75.0670241286863,78.6581554709988,82.0773839717048,82.4652777777778,82.6427680611613,83.5314727897848,85.4139290407359,86.4326932001603,89.0570430733411,91.0201588271228,93.7174479166667,94.0298507462687,94.0310711365495,94.2057291666667,95.5111111111111,95.6912028725314,95.4024138980955,97.0774800370183,95.8785487320906,97.8421736191793,101.070154577883,102.631142968235,102.916794504974,102.280430255981,102.198902480356,103.443666146457
"Upper West Side","New York","NY","New York","New York",4,987.569444444444,970,989.52380952381,1004.84848484848,1001.43266475645,998.888888888889,1028.94697512725,1047.29018679295,1028.11916055771,1011.54182721486,1032.66787658802,1067.12328767123,1080.80808080808,1020.51282051282,1125,1147.95918367347,1167.6217765043,1166.66666666667,1151.92307692308,1118.75,1108.10810810811,1142.15743440233,1136.52704511456,1153.31491712707,1161.60714285714,1175.88235294118,1198.15203523069,1193.58251477654,1187.5,1196.72131147541,1186.22448979592,1196.72131147541,1182.00428026426,1153.84615384615,1188.84737930649,1207.31707317073,1209.15032679739,1214.86486486486,1230.35357321339,1220.82993751698,1236.14663256607,1279.36711262928,1287.33264675592,1298.07692307692,1369.76174638689,1388.88888888889,1410.11805517385,1410.64593056579,1472.22222222222,1485.71428571429,1463.19158664838,1435.81731386187,1488.83174224344,1461.30044596157,1499.76926626673,1479.93154046862,1547.42144106942,1551.53577617601,1568.75231091574,1567.37588652482,1559.93247045582,1566.77617855653,1581.55487804878,1606.02934008319,1603.49781341108,1646.0396039604,1695.4969284774,1719.71881353592,1738.746690203,1755.19175278749,1800,1849.16201117318,1896.64711960506,1905.43959519292,1878.49720223821,1878.43137254902,1861.81818181818,1861.35371179039,1861.15992970123,1861.81818181818,1849.16201117318,1860.54913294798,1869.47477899116,1869.47477899116,1859.81956974323
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.544614379568,412.968447523106,417.053903345725,415.384615384615,408.318380846534,396.666666666667,397.39663093415,403.587599161802,411.022758431588,425.346901017576,431.134259259259,433.1229289894,413.440142412105,416.763139615652,411.309877402638,413.715146948003,412.40478781284,423.590054578532,444.261384672344,440.394406392694,440.815513406539,441.458026509573,435.757575757576,455.725,463.255631879122,456.561933036451,471.447593928066,482.017543859649,486.089238845144,484.357754113598,489.293982747299,513.129102844639,484.839189959629,483.168827948808,481.09756097561,496.794871794872,484.534057871251,487.742651308616,482.434127979925,483.993488876831
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.457337883959,215.311004784689,209.675366008912,214.628382370318,219.280579393916,229.663536372153,229.511108240765,232.717316906229,239.852002121363,240.715268225585,239.943290432006,242.696629213483,234.74982864976,223.726154794252,239.865886585853,247.96626984127,249.405058495012,250.625939849624,253.991291727141,254.003079557538,256.685126582278,259.018759018759,263.157894736842,264.354675707251,259.505129752565,267.080152671756,260.387643852211,263.247123654613,262.035985276468,264.664804469274,278.311965811966,278.181818181818,288.071402314661,293.736216256335,300.08471032751,299.139167862267,308.346213292117,307.485962566845,315.161839863714
"Upper East Side","New York","NY","New York","New York",7,1015.46391752577,966.666666666667,964.285714285714,974.226804123711,1000.61614294516,963.452380952381,950,962.728758169935,935.483870967742,925,927.857142857143,919.099730840062,917.948717948718,843.75,973.639455782313,974.319727891156,961.666666666667,959.866783779827,957.065653219902,950,959.547498977784,985.828712261245,996.13603988604,1017.86604454547,1017.14070410017,1041.66666666667,1066.73059383776,1059.96404725218,1045.97794446932,1037.69230769231,1052.62443438914,1039.998,1015.7458583957,1020.67183462532,1097.22222222222,1100,1103.51342948028,1100,1093.07065217391,1130.33715178339,1142.58241758242,1152.30769230769,1152.30769230769,1209.82986767486,1240,1265.71428571429,1398.52941176471,1405.22875816993,1430.34825870647,1431.04756031558,1430.34825870647,1374.25938117182,1379.31034482759,1332.74021352313,1453.97098951601,1373.41772151899,1445.69816643159,1443.90266131972,1484.64163822526,1509.26166283468,1503.39110776187,1534.7137637028,1558.83963121026,1586.82289405124,1606.53753026634,1578.83248009101,1600.8658008658,1580.3631472764,1638.96052066065,1665.03980504273,1665.12059369202,1671.42857142857,1781.88899707887,1750,1676.80608365019,1693.70460048426,1684.71720818291,1652.13946117274,1664.02535657686,1675.91125198098,1659.09090909091,1651.8955564122,1658.21681317363,1653.38621674762,1637.30255164034
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2421875,75.0215941465941,73.7300230148609,76.1750218799753,77.2030007837868,77.6129943502825,78.8256204922872,79.5575221238938,79.4801862928402,81.7837956711712,83.4921845215402,83.8044308632544,81.25,81.25,84.4827988338192,86.7476851851852,86.4539007092199,86.7297061919428,88.7340578453411,90.3467349676359,90.2522856649991,91.3502109704641,92.3250277765929,92.6879505664264,94.6407428903076,94.0196078431373,94.0132882421261,95.421686746988,96.2087585931214,97.0400291120815,97.9730970569581,98.3540746688077,100.860565168328,101.752947157396,103.852426301213,104.761904761905,105.491973766055,105.62302385743,106.428267347808
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.376623376623,239.903846153846,238.353451527725,228.954081632653,243.676222596965,239.318181818182,269.687162891046,283.901811982733,279.290752351097,277.777777777778,274.876644736842,283.160036166365,286.086956521739,286.086956521739,287.168387247764,287.713841368585,289.648622981956,291.187265879024,289.699570815451,289.674096898704,298.828125,300.353356890459,299.39542844523,302.185197099673,305.053454989516,311.429585768807,311.035838242095,313.05114638448,318.100358422939,335.884353741497,335.074626865672,345.982142857143,339.166666666667,341.628959276018,346.606334841629,348.204570184984,353.6961414791,357.418445795024,357.334869431644
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,84.2145368133703,85.3048225659691,84.9809487273369,83.9030453697949,82.9959450702318,81.3953488372093,80.625,80.1739022521502,77.6807076883283,76.4763779527559,73.6095965103599,70.8655521245869,67.7506775067751,64.0151515151515,62.5,62.2482767941614,61.6391184573003,62.1665319320938,63.1172122404196,64.1801548205489,63.8731952291274,62.7985074626866,63.2237312365976,63.3301086789005,63.1689976743391,66.1505981703026,68.2873531821907,69.8744988545246,72.0376175548589,74.1524255123161,72.5267971119231,74.2903528912531,75.4952382013831,76.2145948072384,80.11178388449,82.5775656324582,84.1450790213849,86.3940131466153,88.2971316574053,90.6176096052392,92.4871940808196,96.1046963369694,96.0599153370238,102.707263164749,104.458688970884,105.76757556598,106.560392397302,107.041690140845,105.263157894737,106.060606060606,108.507963118189,109.134045077106,110.241326838036,112.295960771277,111.529521152952,113.349261431968,114.010546989007,114.401076716016,113.766596785465,113.891295011683,115.48733599525,117.231591937474,117.388062026999,118.802180736957,120.835686053077,121.579787234043,123.809523809524,124.123043712898,124.548286604361,124.862284245318,124.548164654494,124.941022685021,126.380777096115,128.281624636261,128.836198810705,129.955046996322,130.536682115816,131.081278154811,131.458824890123,132.181102362205,132.37139272271,132.784076157508,132.869991823385,133.455111509622,134.68809073724
