,STATION,DATE,TIME,ENTRIES,NEW_ENTRIES
0,68ST-HUNTER CO,2015-01-01,00:00:00,22275560,0.0
1,68ST-HUNTER CO,2015-01-01,04:00:00,114209581,2085.0
2,68ST-HUNTER CO,2015-01-01,08:00:00,114209836,255.0
3,68ST-HUNTER CO,2015-01-01,12:00:00,114210758,922.0
4,68ST-HUNTER CO,2015-01-01,16:00:00,114213003,2245.0
5,68ST-HUNTER CO,2015-01-01,20:00:00,114215423,2420.0
6,68ST-HUNTER CO,2015-01-02,00:00:00,114216456,1033.0
7,68ST-HUNTER CO,2015-01-02,04:00:00,114216633,177.0
8,68ST-HUNTER CO,2015-01-02,08:00:00,114217247,614.0
9,68ST-HUNTER CO,2015-01-02,12:00:00,114220559,3312.0
10,68ST-HUNTER CO,2015-01-02,16:00:00,114226698,6139.0
11,68ST-HUNTER CO,2015-01-02,20:00:00,114234860,8162.0
12,68ST-HUNTER CO,2015-01-03,00:00:00,114237213,2353.0
13,68ST-HUNTER CO,2015-01-03,04:00:00,114237529,316.0
14,68ST-HUNTER CO,2015-01-03,08:00:00,114237883,354.0
15,68ST-HUNTER CO,2015-01-03,12:00:00,114239384,1501.0
16,68ST-HUNTER CO,2015-01-03,16:00:00,114242826,3442.0
17,68ST-HUNTER CO,2015-01-03,20:00:00,114246545,3719.0
18,68ST-HUNTER CO,2015-01-04,00:00:00,114248132,1587.0
19,68ST-HUNTER CO,2015-01-04,04:00:00,114248363,231.0
20,68ST-HUNTER CO,2015-01-04,08:00:00,114248598,235.0
21,68ST-HUNTER CO,2015-01-04,12:00:00,114249818,1220.0
22,68ST-HUNTER CO,2015-01-04,16:00:00,114252532,2714.0
23,68ST-HUNTER CO,2015-01-04,20:00:00,114255360,2828.0
24,68ST-HUNTER CO,2015-01-05,00:00:00,114256528,1168.0
25,68ST-HUNTER CO,2015-01-05,04:00:00,114256689,161.0
26,68ST-HUNTER CO,2015-01-05,08:00:00,114258089,1400.0
27,68ST-HUNTER CO,2015-01-05,12:00:00,114263831,5742.0
28,68ST-HUNTER CO,2015-01-05,16:00:00,114271995,8164.0
29,68ST-HUNTER CO,2015-01-05,20:00:00,73712992,9808.0
30,68ST-HUNTER CO,2015-01-06,00:00:00,114287412,2655.0
31,68ST-HUNTER CO,2015-01-06,04:00:00,114287671,259.0
32,68ST-HUNTER CO,2015-01-06,08:00:00,114289152,1481.0
33,68ST-HUNTER CO,2015-01-06,12:00:00,114295345,6193.0
34,68ST-HUNTER CO,2015-01-06,16:00:00,114303956,8611.0
35,68ST-HUNTER CO,2015-01-06,20:00:00,73738100,10609.0
36,68ST-HUNTER CO,2015-01-07,00:00:00,114320550,3054.0
37,68ST-HUNTER CO,2015-01-07,04:00:00,114320776,226.0
38,68ST-HUNTER CO,2015-01-07,08:00:00,114322204,1428.0
39,68ST-HUNTER CO,2015-01-07,12:00:00,114328307,6103.0
40,68ST-HUNTER CO,2015-01-07,16:00:00,114336762,8455.0
41,68ST-HUNTER CO,2015-01-07,20:00:00,73763253,10652.0
42,68ST-HUNTER CO,2015-01-08,00:00:00,114353229,2869.0
43,68ST-HUNTER CO,2015-01-08,04:00:00,114353446,217.0
44,68ST-HUNTER CO,2015-01-08,08:00:00,114354808,1362.0
45,68ST-HUNTER CO,2015-01-08,12:00:00,114360787,5979.0
46,68ST-HUNTER CO,2015-01-08,16:00:00,114369078,8291.0
47,68ST-HUNTER CO,2015-01-08,20:00:00,73787908,10497.0
48,68ST-HUNTER CO,2015-01-09,00:00:00,114385458,2969.0
49,68ST-HUNTER CO,2015-01-09,04:00:00,114385711,253.0
50,68ST-HUNTER CO,2015-01-09,08:00:00,114387229,1518.0
51,68ST-HUNTER CO,2015-01-09,12:00:00,114394413,7184.0
52,68ST-HUNTER CO,2015-01-09,16:00:00,114403331,8918.0
53,68ST-HUNTER CO,2015-01-09,20:00:00,114414966,11635.0
54,68ST-HUNTER CO,2015-01-10,00:00:00,114417707,2741.0
55,68ST-HUNTER CO,2015-01-10,04:00:00,114418027,320.0
56,68ST-HUNTER CO,2015-01-10,08:00:00,114418426,399.0
57,68ST-HUNTER CO,2015-01-10,12:00:00,114420198,1772.0
58,68ST-HUNTER CO,2015-01-10,16:00:00,114423922,3724.0
59,68ST-HUNTER CO,2015-01-10,20:00:00,114428062,4140.0
60,68ST-HUNTER CO,2015-01-11,00:00:00,114429927,1865.0
61,68ST-HUNTER CO,2015-01-11,04:00:00,114430250,323.0
62,68ST-HUNTER CO,2015-01-11,08:00:00,114430519,269.0
63,68ST-HUNTER CO,2015-01-11,12:00:00,114431985,1466.0
64,68ST-HUNTER CO,2015-01-11,16:00:00,114434736,2751.0
65,68ST-HUNTER CO,2015-01-11,20:00:00,114437642,2906.0
66,68ST-HUNTER CO,2015-01-12,00:00:00,114438949,1307.0
67,68ST-HUNTER CO,2015-01-12,04:00:00,114439111,162.0
